approach,system,steps,min_total_core,max_total_core,resources,classes,sla
BNV1-1.0,system_32,103,191.0,191.0,10,12,300.0
BNV1-0.5,system_32,210,191.5,191.5,10,12,300.0
BNV2-2.0,system_32,57,186.1,190.0,10,12,300.0
BNV2-4.0,system_32,26,192.0,198.0,10,12,300.0
BNV2-1.0,system_32,113,188.1,191.0,10,12,300.0
AMPL,system_32,0,155.42,0,10,12,300.0
BNV1-4.0,system_33,8,118.0,118.0,10,12,300.0
BNV1-2.0,system_33,25,102.0,102.0,10,12,300.0
BNV1-1.0,system_33,53,94.0,94.0,10,12,300.0
BNV1-0.5,system_33,113,95.5,95.5,10,12,300.0
BNV2-2.0,system_33,30,97.0,100.0,10,12,300.0
BNV2-4.0,system_33,14,90.5,98.0,10,12,300.0
BNV2-1.0,system_33,60,92.1,96.0,10,12,300.0
AMPL,system_33,0,75.98,0,10,12,300.0
BNV1-4.0,system_34,6,90.0,90.0,10,12,300.0
BNV1-2.0,system_34,15,78.0,78.0,10,12,300.0
BNV1-1.0,system_34,33,77.0,77.0,10,12,300.0
BNV1-0.5,system_34,66,75.4,75.4,10,12,300.0
BNV2-2.0,system_34,19,74.3,78.0,10,12,300.0
BNV2-4.0,system_34,12,76.1,82.0,10,12,300.0
BNV2-1.0,system_34,38,74.7,77.0,10,12,300.0
AMPL,system_34,0,67.97,0,10,12,300.0
BNV1-4.0,system_35,10,134.0,134.0,10,12,300.0
BNV1-2.0,system_35,28,116.0,116.0,10,12,300.0
BNV1-1.0,system_35,61,106.0,106.0,10,12,300.0
BNV1-0.5,system_35,121,103.7,103.7,10,12,300.0
BNV2-2.0,system_35,46,101.5,110.0,10,12,300.0
BNV2-4.0,system_35,17,102.5,114.0,10,12,300.0
BNV2-1.0,system_35,70,100.1,105.0,10,12,300.0
AMPL,system_35,0,89.32,0,10,12,300.0
BNV1-4.0,system_36,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_36,4,54.0,54.0,10,12,300.0
BNV1-1.0,system_36,7,46.0,46.0,10,12,300.0
BNV1-0.5,system_36,11,41.6,41.6,10,12,300.0
BNV2-2.0,system_36,10,42.5,46.0,10,12,300.0
BNV2-4.0,system_36,8,54.3,70.0,10,12,300.0
BNV2-1.0,system_36,13,40.5,43.0,10,12,300.0
AMPL,system_36,0,38.60,0,10,12,300.0
BNV1-4.0,system_37,4,90.0,90.0,10,12,300.0
BNV1-2.0,system_37,4,54.0,54.0,10,12,300.0
BNV1-1.0,system_37,7,46.0,46.0,10,12,300.0
BNV1-0.5,system_37,11,41.6,41.6,10,12,300.0
BNV2-2.0,system_37,10,42.5,46.0,10,12,300.0
BNV2-4.0,system_37,8,54.3,70.0,10,12,300.0
BNV2-1.0,system_37,13,40.5,43.0,10,12,300.0
AMPL,system_37,0,38.60,0,10,12,300.0
BNV1-4.0,system_38,5,122.0,122.0,10,12,300.0
BNV1-2.0,system_38,12,86.0,86.0,10,12,300.0
BNV1-1.0,system_38,27,75.0,75.0,10,12,300.0
